SampleNo,X1,X2,X3,y1,y2,y3,y4,y5,y6,y7,y8,y9

17,75,5,0,0.078653,0.1598,0.092167,0.053667,0.065583,1533.741152,1831.485925,1695.402607,1729.473726

18,75,5,0.167,0.086981,0.0885,0.073733,0.052867,0.042733,1595.907404,1789.119688,1793.514962,1673.075084

19,75,5,0.5,0.081722,0.0572,0.0568,0.0403,0.0406,1704.734993,1887.449382,1813.17714,1680.38595

20,75,5,1.5,0.083918,0.0435,0.047,0.040567,0.046733,1761.518351,1767.493942,1736.957437,1648.781349

21,75,10,0,0.078401,0.079833,0.062533,0.062967,0.037,1549.705975,1713.121518,1734.847593,1675.35883

22,75,10,0.167,0.087794,0.177067,0.0402,0.0489,0.0481,1499.181431,1758.277451,1722.820377,1712.300113

23,75,10,0.5,0.039533,0.062933,0.038433,0.035667,0.035567,1518.129448,1818.626249,1783.513411,1692.055821

24,75,10,1.5,0.057777,0.045967,0.033733,0.038767,0.034467,1734.809788,1805.261108,1825.566249,1557.681549

25,75,20,0,0.081482,0.131,0.090367,0.0698,0.0658,1540.509264,1857.147759,1554.548628,1659.194266

26,75,20,0.167,0.088096,0.1087,0.0842,0.041,0.044533,1601.965583,1861.248139,1798.541236,1654.003829

27,75,20,0.5,0.03372,0.0586,0.042,0.039267,0.037,1680.109862,1815.986809,1857.07489,1686.95102

28,75,20,1.5,0.051019,0.047467,0.030133,0.029067,0.030533,1606.244272,1810.614315,1899.295447,1613.241754

29,75,40,0,0.081948,0.060733,0.061867,0.0464,0.045633,1546.819964,1782.11314,1723.50514,1703.931792

30,75,40,0.167,0.06554,0.069033,0.035867,0.046,0.040267,1580.41062,1766.300604,1833.122434,1603.697378

31,75,40,0.5,0.027651,0.071167,0.0392,0.037367,0.036233,1624.474081,1863.424072,1821.533143,1759.091849

32,75,40,1.5,0.035618,0.051067,0.036267,0.0399,0.0381,1679.435355,1859.678708,1706.808496,1685.190788

33,90,5,0,0.076475,0.147933,0.050367,0.0438,0.038767,1613.419904,1700.96297,1738.917803,1646.278145

34,90,5,0.167,0.028966,0.051,0.0417,0.0363,0.035867,1599.759798,1791.651482,1752.929345,1740.317971

35,90,5,0.5,0.013079,0.052833,0.048533,0.034433,0.033733,1621.9667,1809.412309,1677.39798,1760.668148

36,90,5,1.5,0.020186,0.039133,0.036267,0.031933,0.0298,1589.071913,1748.625374,1748.747018,1729.938847

37,90,10,0,0.044195,0.0899,0.058267,0.038233,0.037367,1661.427807,1704.974867,1739.00774,1541.631855

38,90,10,0.167,0.021822,0.055033,0.038467,0.036467,0.0348,1738.119399,1804.130174,1739.981933,1606.884814

39,90,10,0.5,0.008561,0.047067,0.038433,0.0269,0.029033,1743.201781,1846.752119,1755.479565,1755.308851

40,90,10,1.5,0.019485,0.043467,0.035833,0.0366,0.029067,1756.93163,1858.446181,1737.320265,1603.425134

41,90,20,0,0.015331,0.049233,0.038433,0.040267,0.032333,1649.060677,1745.676537,1718.707039,1630.948732

42,90,20,0.167,0.019927,0.0511,0.0359,0.0372,0.038033,1654.128325,1845.394311,1713.276531,1594.576744

43,90,20,0.5,0.01433,0.040633,0.036633,0.029367,0.028967,1767.348757,1945.663856,1818.326852,1463.493786

44,90,20,1.5,0.019413,0.0392,0.036667,0.034467,0.030867,1622.89634,1768.954638,1714.853549,1635.553642

45,90,40,0,0.0165,0.043167,0.0427,0.03445,0.028333,1710.886372,1822.302042,1810.775104,1791.326813

46,90,40,0.167,0.024075,0.048867,0.037733,0.030133,0.032,1652.588637,1694.766559,1854.049766,1681.578109

47,90,40,0.5,0.017163,0.0435,0.0374,0.0291,0.0251,1776.787546,1888.522404,1861.027909,1746.882446

48,90,40,1.5,0.021136,0.042367,0.029133,0.0345,0.025467,1519.870725,1934.633996,1611.177786,1736.941317

49,105,5,0,0.030875,0.040967,0.040933,0.0359,0.033067,1690.329228,1810.568569,1809.054669,1746.909086

50,105,5,0.167,0.024472,0.043433,0.031567,0.033767,0.027633,1807.363196,1788.735823,1691.157518,1711.696764

51,105,5,0.5,0.015183,0.045267,0.035167,0.031233,0.022933,1640.202687,1820.051391,1782.871849,1691.472224

52,105,5,1.5,0.023866,0.0352,0.032633,0.030433,0.0258,1736.335299,1765.982391,1779.632881,1773.967361

53,105,10,0,0.016014,0.049267,0.031533,0.026233,0.0244,1767.083497,1875.862727,1822.487547,1819.47828

54,105,10,0.167,0.0179,0.044567,0.0384,0.031467,0.033067,1645.329798,1822.7946,1751.515558,1682.710336

55,105,10,0.5,0.014628,0.040567,0.035533,0.034133,0.023667,1622.86672,1984.991306,1658.286452,1746.234855

56,105,10,1.5,0.019114,0.040967,0.0363,0.026967,0.028333,1717.188655,1744.959685,1914.76107,1792.42361

57,105,20,0,0.012253,0.049567,0.035933,0.031167,0.0226,1786.302187,1965.879829,1773.895482,1741.191224

58,105,20,0.167,0.013598,0.0413,0.031867,0.0305,0.030167,1788.067202,1888.588154,1745.861781,1789.661428

59,105,20,0.5,0.015033,0.043467,0.0334,0.024667,0.027833,1639.315483,1870.205825,1885.053956,1642.116572

60,105,20,1.5,0.017514,0.0377,0.026567,0.0302,0.022967,1660.79364,1790.216641,1664.903431,1746.984885

61,105,40,0,0.010318,0.0478,0.0399,0.029067,0.0312,1729.196716,1730.820294,2116.955506,1840.246035

62,105,40,0.167,0.017886,0.036633,0.028667,0.031233,0.029233,1749.2041,1875.376787,1738.252117,1514.352612

63,105,40,0.5,0.010592,0.041667,0.032267,0.027967,0.02439,1745.168261,1761.222463,1821.533146,1819.152956

64,105,40,1.5,0.017894,0.0381,0.031167,0.026567,0.0255,1714.181551,1911.937754,1899.670351,1753.567295

65,120,5,0,0.033624,0.042367,0.031633,0.029733,0.029467,1610.589472,1773.813091,1723.061673,1697.826558

66,120,5,0.167,0.016581,0.0384,0.031567,0.025789,0.0255,1898.182304,1920.479904,1730.548356,1836.596783

67,120,5,0.5,0.00862,0.0431,0.033367,0.027267,0.0193,1709.820441,1937.2,1867.916399,1904.176875

68,120,5,1.5,0.018563,0.038767,0.0244,0.0319,0.018267,1631.867329,1864.380355,1637.451492,1679.588378

69,120,10,0,0.013741,0.034867,0.0226,0.027933,0.018967,1795.80085,1937.359409,1946.348975,1914.377756

70,120,10,0.167,0.015422,0.035233,0.0296,0.021267,0.022933,1929.826389,1930.023037,1947.440373,1976.892876

71,120,10,0.5,0.011599,0.036267,0.025867,0.018,0.021467,1867.335919,1845.657195,1697.147712,1883.493778

72,120,10,1.5,0.012469,0.0359,0.0204,0.025833,0.0205,1818.944448,2003.487099,1793.189349,1834.899282

73,120,20,0,0.010957,0.0334,0.028367,0.02205,0.019433,1902.855049,1978.689613,2058.793897,1877.405914

74,120,20,0.167,0.015134,0.033033,0.026567,0.0264,0.025128,1908.406492,1953.219624,1685.293786,2005.019914

75,120,20,0.5,0.010964,0.0356,0.021167,0.02635,0.022963,1901.811582,1931.381593,1840.008623,1930.634304

76,120,20,1.5,0.014733,0.031567,0.024733,0.0345,0.016126,1791.900899,1901.027407,1708.714695,1784.613427

77,120,40,0,0.00696,0.029767,0.029767,0.023367,0.01972,1962.133029,1943.204315,1726.72444,1975.815987

78,120,40,0.167,0.009879,0.034867,0.027267,0.02985,0.021164,1853.110523,2086.942694,1664.556523,2013.211035

79,120,40,0.5,0.010791,0.039867,0.033,0.0252,0.018258,1812.193412,1853.776984,1751.038595,1865.678559

80,120,40,1.5,0.013236,0.030867,0.0229,0.0197,0.021733,1911.72419,2067.741603,2063.314041,1867.443019

81,0,0,0,0.080662,0.116667,0.067267,0.040233,0.0377,1587.940605,1615.841426,1607.310679,1694.778938

82,0,0,0.167,0.078363,0.099367,0.037733,0.044233,0.041367,1442.482979,1830.315033,1696.367529,1638.976446

83,0,0,0.5,0.080649,0.126667,0.043167,0.049267,0.029067,1453.599809,1861.066554,1718.709889,1781.026397

84,0,0,1.5,0.077377,0.082767,0.037333,0.039533,0.027967,1510.081199,1794.643732,1752.830368,1744.70742
